"","Drug","Gene","ICD","gene_ICD_ref","drug_gene_ref"
"78","ABIRATERONE","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Medline_22174412,Medline_28178640,Medline_29533860,Pmcoa_4881730,Pmcoa_5189628,Pmcoa_4624871,Medline_26030522,Medline_22411952,Pmcoa_4253438,Medline_25201454,Medline_25572785,Medline_21826082,Medline_22738151,Patent_WO2016089883A1,Pmcoa_3375104,Pmcoa_4691085,Patent_EP3227446A1,Patent_US20170283807,Medline_24276076,Pmcoa_4695001,Pmcoa_5753491,Pmcoa_4023386,Pmcoa_5676429,Patent_WO2013071177A1,Pmcoa_5344005"
"79","BAY-1841788","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Pmcoa_4673554,Medline_28723521,Medline_26137992,Medline_26313416,Pmcoa_4490394,Medline_28851578,Pmcoa_4520654,Pmcoa_5686265,Medline_28753851,Medline_29063294,Pmcoa_5640574,Medline_28753849"
"80","LGD-2226","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Patent_EP1299094A2,Patent_US20050256048,Patent_US6960474,Patent_WO2002000617A2"
"81","TESTOSTERONE, DIHYDRO-","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Pmcoa_4624871,Pmcoa_3474961,Pmcoa_3519561,Patent_US20110256579,Patent_US20190024185A1,Medline_1434259,Pmcoa_6008978,Patent_US20070032439A1,Medline_6479098,Patent_EP1592454A1,Patent_US20070032439,Patent_US7160989,Patent_US20050164314,Patent_US7622503,Patent_EP1753417A2,Patent_US07622503,Patent_EP2289872B1,Patent_EP1753417B1"
"82","NOR-N-OMEGA-HYDROXY-L-ARGININE","ARG1","PSORIASIS","Medline_12507903,Medline_15780765","Pmcoa_5263244,Patent_US20150204887,Patent_EP2701722A2,Patent_US8883497,Patent_US9746480,Pmcoa_3128058,Patent_US20120276004,Patent_WO2012149416A2,Pmcoa_3948845,Medline_28395717,Pmcoa_3069975,Pmcoa_3744406,Pmcoa_5810145,Pmcoa_4219784,Pmcoa_5010197,Pmcoa_5739867,Pmcoa_3092347,Pmcoa_4494944,Pmcoa_4605267,Pmcoa_5293781,Pmcoa_5071574"
"83","GUANFACINE","ARSD","CROHN'S DISEASE","Patent_US9050276,Patent_US20120207726,Pmcoa_5073317,Patent_WO2017172521A1","Pmcoa_5789216,Patent_US20170348417,Patent_WO2014168820A1,Patent_EP2983652A1,Pmcoa_3420490"
"84","SAPROPTERIN","ARSD","CROHN'S DISEASE","Patent_US9050276,Patent_US20120207726,Pmcoa_5073317,Patent_WO2017172521A1","Pmcoa_4910649,Pmcoa_4073259,Pmcoa_4105824"
"85","PEGASPARGASE","ASPG","ASEPTIC NECROSIS OF BONE","Pmcoa_4788417,Medline_26967741","Pmcoa_4677038,Medline_29090524,Pmcoa_2726072"
"86","COMBRETASTATIN","ATP6V0A4","PSORIASIS","Medline_28769106,Pmcoa_5541073","Medline_28253265,Pmcoa_5333808,Medline_19377096,Patent_WO2017027721A1,Medline_28167300"
"87","UNII-3B03KPM27L","B3GAT1","ARTHRITIS","Medline_22687356,Pmcoa_17819","Pmcoa_5416676,Medline_19205755,Medline_19205754,Medline_22020354,Pmcoa_2726912,Pmcoa_2726911"
"88","MK 869","B3GAT1","ARTHRITIS","Medline_22687356,Pmcoa_17819","Patent_US20060019943,Patent_US20090030040,Patent_US8071778,Patent_US20090018132,Patent_US20090018163,Patent_US20080027056,Patent_US20090124613,Patent_US7098203,Patent_US8026257,Medline_12576885,Patent_US7632861"
"89","FOSAPREPITANT","B3GAT1","ARTHRITIS","Medline_22687356,Pmcoa_17819","Pmcoa_5749222,Patent_EP2729147B1,Patent_US9782397,Patent_US20140128395,Pmcoa_5222820,Patent_EP2729147A1,Patent_WO2013004766A1"
"90","GR205171","B3GAT1","ARTHRITIS","Medline_22687356,Pmcoa_17819","Pmcoa_1959516,Medline_9886687,Medline_11734064,Pmcoa_60651,Medline_10336675,Medline_18465582,Pmcoa_3796513"
"91","EMEND","B3GAT1","ARTHRITIS","Medline_22687356,Pmcoa_17819","Pmcoa_4018359,Medline_24818961,Medline_16831551"
"92","VESTIPITANT","B3GAT1","ARTHRITIS","Medline_22687356,Pmcoa_17819","Medline_24108409,Medline_20478677"
"93","NETUPITANT","B3GAT1","ARTHRITIS","Medline_22687356,Pmcoa_17819","Pmcoa_4282341,Patent_US6479483,Patent_US20020091265,Patent_EP2722045B1,Patent_EP2727590B1,Pmcoa_5658448,Patent_EP2722044B1,Medline_25843024,Patent_WO2017147104A1,Medline_22736506,Medline_25077526"
"94","SPINOSAD","BAX","CHRONIC ULCERATIVE COLITIS","Medline_11413108,Medline_17629044","Medline_27908383,Medline_27870937"
"95","(+/-)HUPERZINE A","BAX","CHRONIC ULCERATIVE COLITIS","Medline_11413108,Medline_17629044","Pmcoa_4526035,Medline_11522938"
"96","TAUROLIDINE","BAX","CHRONIC ULCERATIVE COLITIS","Medline_11413108,Medline_17629044","Pmcoa_3852505,Pmcoa_3551657,Pmcoa_3816653"
"97","COENZYM A","BAX","CHRONIC ULCERATIVE COLITIS","Medline_11413108,Medline_17629044","Patent_EP3213240A2,Pmcoa_4673972"
"98","CEP1347","BAX","CHRONIC ULCERATIVE COLITIS","Medline_11413108,Medline_17629044","Medline_23902710,Pmcoa_3787148"
"99","DECANOATE","BAX","CHRONIC ULCERATIVE COLITIS","Medline_11413108,Medline_17629044","Medline_19857057,Medline_24335837,Pmcoa_4075746"
"100","HYDROXYMETHYLFURFURAL","BAX","CHRONIC ULCERATIVE COLITIS","Medline_11413108,Medline_17629044","Pmcoa_4846015,Pmcoa_4146024"
"101","PIRACETAM","BAX","CHRONIC ULCERATIVE COLITIS","Medline_11413108,Medline_17629044","Pmcoa_4526035,Medline_24570112"
"102","ZANAMIVIR","BAX","CHRONIC ULCERATIVE COLITIS","Medline_11413108,Medline_17629044","Pmcoa_3888381,Pmcoa_5381173"
"103","DOXEPIN","BAX","CHRONIC ULCERATIVE COLITIS","Medline_11413108,Medline_17629044","Medline_28255309,Pmcoa_5333475"
"104","ISOVALERATE","BAX","CHRONIC ULCERATIVE COLITIS","Medline_11413108,Medline_17629044","Patent_EP2658535A1,Patent_WO2012092035A1"
"105","IOPAMIDOL","BAX","CHRONIC ULCERATIVE COLITIS","Medline_11413108,Medline_17629044","Pmcoa_5364980,Medline_28260077"
"106","PROMAZINE","BAX","CHRONIC ULCERATIVE COLITIS","Medline_11413108,Medline_17629044","Pmcoa_3136481,Pmcoa_4695010"
"107","LOBAPLATIN","BAX","CHRONIC ULCERATIVE COLITIS","Medline_11413108,Medline_17629044","Pmcoa_4948715,Medline_29597090"
"108","BENDAMUSTINE","BAX","CHRONIC ULCERATIVE COLITIS","Medline_11413108,Medline_17629044","Pmcoa_2886317,Medline_30187811"
"109","OXIDIZED ASCORBATE","BAX","CHRONIC ULCERATIVE COLITIS","Medline_11413108,Medline_17629044","Pmcoa_4363333,Medline_29644528"
"110","ATRACURIUM","BAX","CHRONIC ULCERATIVE COLITIS","Medline_11413108,Medline_17629044","Pmcoa_5042291,Medline_27729798"
"111","VF 147","BCL2L1","ARTHRITIS","Patent_US20090232829,Patent_US20140056919,Patent_US8580755,Pmcoa_2888221,Medline_20384988,Pmcoa_3446442,Pmcoa_4125784","Pmcoa_5107943,Pmcoa_4496837"
"112","ULIPRISTAL ACETATE","BCL2L1","ARTHRITIS","Patent_US20090232829,Patent_US20140056919,Patent_US8580755,Pmcoa_2888221,Medline_20384988,Pmcoa_3446442,Pmcoa_4125784","Medline_26474308,Pmcoa_4608808"
"113","BI-113823","BDKRB1","ARTHRITIS","Pmcoa_2612656,Pmcoa_4421925","Medline_25088373,Medline_23236443,Pmcoa_3517424"
"114","CHEMBL3126832","BIRC5","ARTHRITIS","Pmcoa_4652986,Medline_17635796,Pmcoa_5428713,Pmcoa_4516528,Medline_25381389","Medline_23900601,Medline_29752686"
"115","PEGARGIMINASE","BIRC5","ARTHRITIS","Pmcoa_4652986,Medline_17635796,Pmcoa_5428713,Pmcoa_4516528,Medline_25381389","Pmcoa_4467438,Pmcoa_6319333,Patent_US20180296690,Patent_US20180296690A1"
"116","GATAPARSEN","BIRC5","ARTHRITIS","Pmcoa_4652986,Medline_17635796,Pmcoa_5428713,Pmcoa_4516528,Medline_25381389","Pmcoa_4224095,Medline_25436803,Pmcoa_5053666"
"117","ABACAVIR","C1R","SYSTEMIC LUPUS ERYTHEMATOSUS","Pmcoa_3874733,Medline_29550838,Medline_28544690,Pmcoa_5442170","Pmcoa_4326126,Pmcoa_4449000"
"118","CHLORTETRACYCLINE","C4A","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_4096884,Medline_11033017,Medline_10529130,Medline_2044237,Medline_21695597,Medline_15310011,Medline_2289315,Medline_9797559,Medline_14719377,Medline_7728395,Pmcoa_4088925,Medline_28205620,Pmcoa_5311832","Patent_US20170369864,Patent_US20170369864A1,Pmcoa_5478473"
"119","GUANIDINIUM CHLORIDE","CA2","SJOGREN'S SYNDROME","Medline_8613065,Medline_17622741","Patent_US20080247991,Medline_8568868"
"120","DANSYLAMIDE","CA2","SJOGREN'S SYNDROME","Medline_8613065,Medline_17622741","Patent_US20050164339,Patent_US20040185518,Patent_US7785825"
"121","DORZOLAMIDE","CA2","SJOGREN'S SYNDROME","Medline_8613065,Medline_17622741","Medline_23317571,Patent_US20150283265,Patent_US20140056815,Patent_US20130309278,Patent_US20100125067,Patent_US20140336514,Medline_8070313,Pmcoa_5238551,Pmcoa_2993108"
"122","DIURETIC C","CA2","SJOGREN'S SYNDROME","Medline_8613065,Medline_17622741","Patent_EP2758424A1,Patent_WO2013041487A1,Pmcoa_4464172,Patent_US20150299688,Pmcoa_2891608,Medline_20533306,Pmcoa_2705510"
"123","DORZOLAMIDE HYDROCHLORIDE","CA2","SJOGREN'S SYNDROME","Medline_8613065,Medline_17622741","Medline_10048009,Pmcoa_5115898"
"124","PRAMLINTIDE","CALCR","AGE RELATED OSTEOPOROSIS","Patent_US20050019841,Pmcoa_3907859,Medline_15960543,Patent_EP2718315A2,Patent_US20140018286,Patent_WO2012168431A2,Patent_WO2014191455A1,Patent_WO2012168430A2","Pmcoa_4312210,Pmcoa_5280875"
"125","RONACALERET","CASR","AGE RELATED OSTEOPOROSIS","Medline_29019102,Medline_15978932","Clinicaltrial_NCT01466335,Medline_23756230,Medline_24794093,Clinicaltrial_NCT00891553,Medline_21825222,Medline_22052452,Medline_21593114,Medline_21742071"
"126","CINACALCET HYDROCHLORIDE","CASR","AGE RELATED OSTEOPOROSIS","Medline_29019102,Medline_15978932","Pmcoa_3533871,Pmcoa_3065008,Medline_21623582,Patent_US20110281954,Patent_EP2170805B1,Medline_15631545,Patent_US8183415,Patent_US20090137837,Patent_US8415501,Patent_US20070238790,Medline_15689407"
"127","2-AMINO-2-HYDROXYACETIC ACID","CBS","AGE RELATED OSTEOPOROSIS","Pmcoa_2630375,Medline_18987302","Medline_23043860,Pmcoa_5411453,Medline_17101327,Patent_US20160095831,Pmcoa_5782486,Medline_28512446,Pmcoa_3144905,Patent_US20160095831A1"
"128","BENSERAZIDE","CBS","AGE RELATED OSTEOPOROSIS","Pmcoa_2630375,Medline_18987302","Medline_27521834,Medline_28978633"
"129","AMINOOXYACETIC ACID","CBS","AGE RELATED OSTEOPOROSIS","Pmcoa_2630375,Medline_18987302","Medline_18940190,Medline_24145109,Medline_18201837,Pmcoa_4706096,Medline_23226735,Medline_25944997,Pmcoa_5904033,Medline_28383821,Medline_23063804,Pmcoa_3258007,Pmcoa_4372268,Medline_12160876,Pmcoa_4543995,Pmcoa_5131276,Patent_US20090214673,Pmcoa_4332225,Pmcoa_4741935,Pmcoa_3827285,Medline_16781459,Medline_21866187,Pmcoa_3875657,Pmcoa_4845716,Patent_US8092838,Medline_28713283,Pmcoa_4204999,Medline_24667534,Medline_27257787,Pmcoa_4658482,Medline_19255435,Pmcoa_3411702,Pmcoa_4372083,Pmcoa_5407269,Medline_23215842,Medline_25662313,Pmcoa_3493714,Medline_27440715"
"130","C[S+](CCC(N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12","CBS","AGE RELATED OSTEOPOROSIS","Pmcoa_2630375,Medline_18987302","Pmcoa_6270867,Patent_EP2422000A1,Medline_20955694,Patent_US20120108791,Medline_25302704,Pmcoa_3328755,Pmcoa_3775251,Pmcoa_4568289"
"131","(S)-2-AMINO-4-PENTYNOIC ACID","CBS","AGE RELATED OSTEOPOROSIS","Pmcoa_2630375,Medline_18987302","Medline_28847570,Pmcoa_3469557"
"132","BENZNIDAZOLE","CCL26","ALLERGIC ANGIITIDES","Medline_18397958,Medline_21266446","Pmcoa_5023831,Medline_27688600"
"133","PENICILLIN V","CCL7","CHRONIC ULCERATIVE COLITIS","Medline_10433925,Patent_US20050255458,Patent_US20040220220,Patent_US20040214860,Patent_EP2718723B1,Patent_EP3176583A2,Patent_US20140175018,Patent_US20110124552,Patent_US9656015,Patent_US9726666,Patent_US20040242632,Patent_US8524656,Patent_WO2010003240A1,Patent_WO2003039488A2","Patent_US6375951,Patent_US6340460,Patent_US20020187156,Patent_US7083959,Patent_WO1992011029A1"
"134","MIMOSINE","CCND1","CHRONIC ULCERATIVE COLITIS","Medline_12827612,Patent_US20140031389,Patent_US20100285002","Medline_10530763,Medline_10995875"
"135","FLUBENDAZOLE","CCND1","CHRONIC ULCERATIVE COLITIS","Medline_12827612,Patent_US20140031389,Patent_US20100285002","Pmcoa_4467440,Pmcoa_4747368,Medline_25811972"
"136","VISMODEGIB","CCND1","CHRONIC ULCERATIVE COLITIS","Medline_12827612,Patent_US20140031389,Patent_US20100285002","Pmcoa_3975838,Pmcoa_5801594,Patent_EP2473522B1,Patent_US09910050,Patent_US9910050"
"137","RONICICLIB","CCND1","CHRONIC ULCERATIVE COLITIS","Medline_12827612,Patent_US20140031389,Patent_US20100285002","Pmcoa_5427913,Patent_US20180163178,Patent_US20180163178A1"
"138","KRN-7000","CD1D","ARTHRITIS","Pmcoa_4445310,Pmcoa_5814456","Patent_US8420784,Patent_US20110144312,Medline_17442335"
"139","PRO 2000","CD209","KAWASAKI DISEASE","Pmcoa_4141786,Pmcoa_3354554","Pmcoa_4488490,Pmcoa_1590048"
"140","MORAB-004","CD248","GRANULOMATOSIS WITH POLYANGIITIS","Medline_28615072,Pmcoa_5471953","Pmcoa_4694842,Pmcoa_5124654,Pmcoa_4985356,Medline_26327620,Patent_EP2568044A1,Patent_US9290556,Patent_US20160331819,Patent_EP2568044B1,Patent_US20120035529"
"141","SULBACTAM","CD248","GRANULOMATOSIS WITH POLYANGIITIS","Medline_28615072,Pmcoa_5471953","Pmcoa_5036594,Medline_9527373,Pmcoa_5456380,Medline_7606585,Medline_9062788"
"142","CEFTAZIDIME","CD248","GRANULOMATOSIS WITH POLYANGIITIS","Medline_28615072,Pmcoa_5471953","Medline_17066198,Pmcoa_5829062,Medline_8586268,Medline_26284030,Pmcoa_4517069,Medline_2676935"
"143","AVIBACTAM","CD248","GRANULOMATOSIS WITH POLYANGIITIS","Medline_28615072,Pmcoa_5471953","Pmcoa_5365654,Medline_25050826,Pmcoa_3871716"
"144","VARLILUMAB","CD27","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_8938100,Medline_7641505,Medline_26713408,Medline_25156507,Pmcoa_2039801","Medline_28500025,Pmcoa_4649460"
"145","CHYMOPAPAIN","CD34","AGE RELATED OSTEOPOROSIS","Medline_22724005,Pmcoa_3377665,Pmcoa_4530234","Medline_7514449,Medline_9217192"
"146","ISATUXIMAB","CD38","ARTHRITIS","Pmcoa_3306406,Pmcoa_4418770","Patent_EP3215541A1,Patent_WO2016071355A1,Medline_24987056,Patent_WO2015123687A1,Patent_US20160346403,Patent_EP3104882A1,Pmcoa_5030378,Patent_US20170049908"
"147","MILATUZUMAB","CD74","SYSTEMIC LUPUS ERYTHEMATOSUS","Patent_EP2605788A2,Patent_WO2012024223A2,Medline_28219888,Patent_US20170266281,Patent_US20160279239,Medline_27752708","Patent_US20130164214,Patent_US20110243841,Patent_US20170088619,Patent_WO2011123428A1,Patent_EP2552483A1,Pmcoa_3446420,Pmcoa_3200112,Patent_US8119101,Patent_US20130142729,Patent_US20100272636,Patent_US20120100068,Patent_US8367037,Patent_US8846002,Medline_20574049,Medline_21417823,Patent_US20170266281,Patent_US20160279239,Patent_US20160303253,Patent_US9499631,Patent_US9707302,Patent_WO2016210108A1,Patent_US9028833,Patent_US9375489,Patent_US9458242,Patent_US20140219914,Patent_US20160095939,Patent_US9629926,Patent_US20150196662,Patent_US9493574,Patent_US9855344,Patent_US20150196665,Patent_US9493573,Patent_WO2016057398A1,Patent_US20150202320,Patent_US20150196653,Patent_US20170165370,Patent_US9481732,Patent_US20140227180,Patent_US20160090423,Patent_US20160256562,Patent_US9475884,Patent_WO2017004144A1,Patent_US20150196654,Patent_US20150216997,Patent_US20160032004,Patent_US20170014403,Patent_WO2014092804A1,Patent_EP3024460A2,Patent_EP3204018A1,Patent_US20150306243,Patent_US9107960,Patent_US9522959,Patent_US20160296633,Patent_US20170274093,Patent_US20150196664,Patent_EP2900277A1,Patent_WO2015012904A2,Patent_US20140170063,Patent_US20150196661,Patent_US9226973,Patent_US20150196666,Patent_US20150202319"
"148","PENICILLIN G POTASSIUM","CD83","ANGIITIDES","Patent_EP1959993A2,Patent_US8709382,Patent_US9278129,Patent_US20120276608,Patent_US20140017168,Patent_US20150057432,Patent_US20150307524,Patent_US7858070,Patent_US8420783,Patent_WO2006063150A2,Patent_US20120237442,Patent_US9115172,Patent_US9550838,Patent_EP1959993B1,Patent_US20120134920,Patent_US20120230953,Patent_US20150150969,Patent_US20160176968,Patent_US8758726,Patent_EP1819731A2,Patent_US20110143417,Patent_US8545809,Patent_US8889100,Patent_US20140050660,Patent_US20140228541,Patent_US20060140936,Patent_US20090191225,Patent_US20130323204,Patent_US7527787,Patent_WO2017007807A1,Patent_EP2674440A2,Patent_US7521056,Patent_US8211440,Patent_US8420786,Patent_US9657093,Patent_US9809646,Patent_EP1874358A2,Patent_US20080108794,Patent_US20130123473,Patent_US20130177498,Patent_US20150024458,Patent_US20150050715,Patent_US20160199524,Patent_US20170007727,Patent_WO2013181087A2,Patent_WO2014127200A1,Patent_US20170247417,Patent_US20140234209,Patent_US20160130333,Patent_US9028800,Patent_US9540435,Patent_WO2007075270A2,Patent_WO2012162583A1,Patent_WO2014028560A2,Patent_US20070140966,Patent_US20080241141,Patent_US20160176980,Patent_US20170088635,Patent_US8906377,Patent_US9315567,Patent_WO2006107786A2,Patent_EP2651411A2,Patent_EP2885002A2,Patent_US20110158905,Patent_US20170022274,Patent_US20170283442,Patent_EP2931314A1,Patent_EP3242691A1,Patent_US20090269277,Patent_US20140377177,Patent_US20170218059,Patent_US8883160,Patent_EP2854845A2,Patent_US20060228300,Patent_US20080241145,Patent_US20130315821,Patent_US20160340443,Patent_US8987421,Patent_US9446123,Patent_WO2016111797A1,Patent_US20110110851,Patent_US7871622,Pmcoa_3702702,Medline_14734523,Pmcoa_2211768","Pmcoa_2962266,Medline_20332677"
"149","2-[(3,5-DIHYDROXYPHENYL)AMINO]ACETIC ACID","CDK5","SCLERODERMA","Medline_29535807,Pmcoa_5828185","Patent_EP1404864A2,Patent_US20060223158,Patent_US7129073,Patent_WO2002102768A2"
"150","ACETYL SALICYLIC ACID","CDK5","SCLERODERMA","Medline_29535807,Pmcoa_5828185","Medline_17274829,Pmcoa_1802865"
"151","NG 95","CDK5","SCLERODERMA","Medline_29535807,Pmcoa_5828185","Pmcoa_2171993,Pmcoa_3760615,Patent_EP1585523B1"
"152","FUSAFUNGINE","CDR1","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_18209054,Medline_12937633,Patent_US20090148405","Medline_19472887,Pmcoa_4353304,Pmcoa_5640798"
"153","CLAZAKIZUMAB","CDR1","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_18209054,Medline_12937633,Patent_US20090148405","Patent_WO2012071561A2,Patent_EP2643016A2"
"154","ACETYLGLUCOSAMINE","CDR1","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_18209054,Medline_12937633,Patent_US20090148405","Patent_EP2455402A1,Patent_EP2455401A1,Patent_EP2439213A1,Patent_EP2468769A1,Patent_EP2455400A1"
"155","BENZYL BENZOATE","CEACAM6","CROHN'S DISEASE","Medline_21178454,Patent_WO2017021549A1,Pmcoa_3554634,Pmcoa_4760449,Medline_23358328,Pmcoa_3116889","Patent_WO2006085332A1,Patent_US20080171885,Patent_EP1866327A1"
"156","CHEMBL317052","CEBPZ","SCLERODERMA","Medline_14613485,Medline_12881530","Patent_US7582617,Patent_US20120251440,Patent_US20050175535,Patent_US9163057,Patent_US20090317331,Patent_US8071566,Patent_US20150023867,Patent_WO2001062979A2,Patent_US8536150"
"157","ENFLURANE","CEBPZ","SCLERODERMA","Medline_14613485,Medline_12881530","Medline_3101385,Medline_6779496"
"158","CYCLOSERINE","CEBPZ","SCLERODERMA","Medline_14613485,Medline_12881530","Pmcoa_3018112,Pmcoa_3495871"
"159","LUBIPROSTONE","CIC","SYSTEMIC LUPUS ERYTHEMATOSUS","Patent_EP1718674A2,Patent_US20090010937,Patent_WO2005072380A2,Medline_17335556","Pmcoa_4947709,Pmcoa_5131004"
"160","H-CIT-OH","CIT","ARTHRITIS","Patent_EP2968435A1,Patent_US20160024183,Patent_WO2014141244A1,Pmcoa_5497640,Pmcoa_1174941,Medline_15899032,Patent_EP1946109B1,Patent_US20090325884,Pmcoa_4637280","Patent_WO2006040047A2,Pmcoa_5269688"
"161","CIS-UROCANIC ACID","CLDN1","CHRONIC ULCERATIVE COLITIS","Pmcoa_5602518,Medline_20871038","Patent_US20140086977,Patent_EP2691090A2,Patent_WO2012131341A2"
"162","RANIBIZUMAB","CLDN1","CHRONIC ULCERATIVE COLITIS","Pmcoa_5602518,Medline_20871038","Pmcoa_5487872,Pmcoa_4583120,Medline_18511543"
"163","DOLUTEGRAVIR","CREM","SYSTEMIC LUPUS ERYTHEMATOSUS","Patent_WO2004071418A2,Patent_US20040197316,Medline_21097497,Pmcoa_5165720,Medline_12370343","Pmcoa_5878415,Medline_29603882,Pmcoa_4575289"
"164","FIDAXOMICIN","CREM","SYSTEMIC LUPUS ERYTHEMATOSUS","Patent_WO2004071418A2,Patent_US20040197316,Medline_21097497,Pmcoa_5165720,Medline_12370343","Pmcoa_4769325,Pmcoa_5655036"
"165","PEXACERFONT","CRHR1","PSORIASIS","Medline_22350180,Medline_22360979,Medline_19560286","Pmcoa_6138948,Medline_27109623,Medline_29064909,Medline_27595147,Pmcoa_4462850,Pmcoa_6308142,Medline_23330973"
"166","EMICERFONT","CRHR1","PSORIASIS","Medline_22350180,Medline_22360979,Medline_19560286","Medline_23954313,Pmcoa_4288101"
"167","VERUCERFONT","CRHR1","PSORIASIS","Medline_22350180,Medline_22360979,Medline_19560286","Clinicaltrial_NCT00511563,Pmcoa_6215613,Pmcoa_6308142,Clinicaltrial_NCT01059227,Medline_27109623,Pmcoa_4082482,Pmcoa_5652029,Pmcoa_6138948,Pmcoa_6236516,Clinicaltrial_NCT01814332,Medline_29505471"
"168","ZOFENOPRILAT","CSE","AGE RELATED OSTEOPOROSIS","Medline_25759206,Pmcoa_4355730","Medline_27650753,Medline_25631232"
"169","SODIUM AMIDOTRIZOATE","CST3","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_28914371,Medline_23306163,Pmcoa_4672043","Patent_US20140314838,Patent_US9353171,Patent_WO2013074966A1,Medline_24457184"
"170","NITROXOLINE","CTSB","AGE RELATED OSTEOPOROSIS","Medline_24881000,Patent_EP2353599A1,Patent_WO2011091973A1","Pmcoa_6151049,Pmcoa_4081601,Patent_EP2353599A1,Medline_25848918,Pmcoa_4662473"
"171","POLOXAMER 407","CTSB","AGE RELATED OSTEOPOROSIS","Medline_24881000,Patent_EP2353599A1,Patent_WO2011091973A1","Pmcoa_3795317,Medline_23181274"
"172","FOSMIDOMYCIN","CTSL","ARTHRITIS","Medline_3377966,Patent_EP2723387A1,Patent_WO2012175223A1,Patent_US20030036102","Patent_EP2443244A1,Patent_US8507235,Patent_US20110014672,Patent_WO2010148150A1,Patent_US20140162337"
"173","SU9516","CXCL11","PSORIASIS","Medline_26612594,Pmcoa_4768879","Pmcoa_5021355,Medline_27622654"
"174","UNII-88928BS57E","CXCL2","CHRONIC ULCERATIVE COLITIS","Pmcoa_2644704,Medline_23272179,Pmcoa_3525572,Pmcoa_4812449","Pmcoa_6317242,Medline_28749086,Pmcoa_5722510,Medline_29228558"
"175","RAMATROBAN","CXCL2","CHRONIC ULCERATIVE COLITIS","Pmcoa_2644704,Medline_23272179,Pmcoa_3525572,Pmcoa_4812449","Patent_US20100168137,Patent_EP2107907B1"
"176","PEMIROLAST","CXCL2","CHRONIC ULCERATIVE COLITIS","Pmcoa_2644704,Medline_23272179,Pmcoa_3525572,Pmcoa_4812449","Patent_EP2107907B1,Patent_US20100168137"
"177","HISTAMINE DIHYDROCHLORIDE","CYBB","ARTHRITIS","Pmcoa_4237797,Medline_22642907,Medline_21593419,Pmcoa_4624247","Pmcoa_5645432,Pmcoa_5842284"
"178","(2R)-2-AZANIUMYLBUTANEDIOATE","CYBB","ARTHRITIS","Pmcoa_4237797,Medline_22642907,Medline_21593419,Pmcoa_4624247","Pmcoa_3641334,Medline_23559014"
"179","HEME B","CYCS","ARTHRITIS","Pmcoa_4951490,Pmcoa_4226164","Pmcoa_4865315,Medline_25076049,Pmcoa_4151708,Pmcoa_3460858"
"180","HERITAGE","CYCS","ARTHRITIS","Pmcoa_4951490,Pmcoa_4226164","Medline_28567017,Pmcoa_5434151,Patent_EP2004194B1,Patent_US20090222956,Patent_US9192159"
"181","PHENOTHIAZINE","CYCS","ARTHRITIS","Pmcoa_4951490,Pmcoa_4226164","Medline_24130798,Pmcoa_3793907"
"182","2-IMINOBIOTIN","CYCS","ARTHRITIS","Pmcoa_4951490,Pmcoa_4226164","Medline_15678113,Pmcoa_4843764,Pmcoa_2459157"
"183","LTX-315","CYCS","ARTHRITIS","Pmcoa_4951490,Pmcoa_4226164","Pmcoa_4741498,Patent_EP3230318A1,Patent_US20170340696A1,Patent_US20180264079,Patent_EP3229823A1,Patent_US20170340696,Patent_US20180264079A1,Patent_US20190038670A1"
"184","SALICYLHYDROXAMIC ACID","CYCS","ARTHRITIS","Pmcoa_4951490,Pmcoa_4226164","Pmcoa_3463542,Pmcoa_4714917"
